"Dates","B_Value","B_Neutral_PE","B_Growth","B_Robust","B_Neutral_OP","B_Weak","B_Conservative","B_Neutral_INV","B_Aggressive","S_Value","S_Neutral_PE","S_Growth","S_Robust","S_Neutral_OP","S_Weak","S_Conservative","S_Neutral_INV","S_Aggressive"
2000-12-20,-0.0073,-0.006,-9e-04,-0.0023,-5e-04,-0.0015,-0.0062,-0.0036,-0.01,0.0022,0.0018,-0.0145,-0.0047,-0.0025,-0.0024,-0.0034,-0.0029,-0.0023
2000-12-21,-0.0117,0.0029,-0.0113,-0.0101,-0.0115,-0.0102,0.0039,-0.0145,-0.0099,-0.0054,-0.0077,-0.001,-0.002,-0.0041,-0.0026,0.0012,-0.0053,-0.0111
2000-12-22,0.0099,0.0028,2e-04,-0.004,0.0139,0.0072,0.0021,-0.0022,0.0051,0.011,0.0017,0.0075,0.0031,0.0043,-0.0055,0.0015,0.0107,0.0052
2000-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-12-27,-0.0055,0.0067,0.0089,0.0074,-0.0032,0.0065,0.0057,0.0087,0.0068,0.0059,0.0097,0.0015,-0.0033,0.004,0.0131,0.0075,0.0024,-0.0062
2000-12-28,0.0114,-0.0031,-1e-04,0.007,0.007,0.006,0.0022,0.0104,0.0012,-0.0135,0.0113,0.0011,0.0098,-0.0025,0.006,-0.0097,0.0088,0.0072
2000-12-29,0.005,-0.0029,0.005,0.01,-0.0086,0.0029,-0.0044,0.0054,-0.0017,0.0055,0.0025,-0.011,-0.0022,-0.0013,-0.0081,-0.0105,-0.0018,0.0017
2001-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-01-02,-0.0044,9e-04,-0.0057,-6e-04,0.0012,-0.0081,-0.0023,-0.0046,-0.0032,-0.001,-0.0051,-0.0029,-0.0087,-0.0028,-0.0048,-0.0033,-0.0028,0.0062
2001-01-03,-0.0019,-0.0039,-0.0114,-0.0042,-0.0024,-0.0041,-0.0015,-0.0097,-0.0078,-0.0104,-0.0103,-0.0148,-0.0257,-0.0026,-0.0126,-0.0039,-0.0063,-0.0278
2001-01-04,0.0012,0.0058,0.019,0.0079,0.0122,0.0082,0.0122,0.0142,0.0155,0.0178,0.0095,0.0132,-6e-04,0.0163,0.0156,0.0293,0.0067,0.0198
2001-01-05,0.0013,-6e-04,-0.0076,-0.004,0.0097,0.0027,-0.0045,-2e-04,5e-04,0.0058,-0.0015,0.0152,0.006,0.0019,0.0055,0.0151,-0.001,0.0057
2001-01-08,0.0064,-0.007,0.0037,0.0049,-0.0111,-0.0019,0.0018,0.0032,-0.0035,0.0018,0,-0.0105,-0.0085,0.0013,7e-04,0.0059,-0.0044,0.0085
2001-01-09,-0.0102,6e-04,-0.0072,-0.0145,0.0043,0.0016,0.0016,-0.0146,-0.0011,-9e-04,0.0024,-8e-04,0.0014,-0.0082,0.0017,-0.0107,-6e-04,0.0027
2001-01-10,-7e-04,0.0095,0.01,0.0083,0.0019,-0.0011,0.0115,0.0104,-8e-04,0.004,0.0049,0.0115,0.0056,-0.0017,0.0119,0.0054,9e-04,0.0014
2001-01-11,0.0147,0.005,0.0028,0.0037,0.0118,0.0056,-0.0052,0.0039,0.0103,-0.0015,0.0094,-0.0064,-0.0117,0.0011,0.0033,0.0033,0.0057,0.0012
2001-01-12,-0.0038,0.0117,0.0043,0.0066,8e-04,0.0093,0.0091,0.0084,0.0093,0.0079,0.011,-8e-04,-0.006,-0.001,0.0105,0.005,-0.0037,1e-04
2001-01-15,0.0049,0.0048,0.006,0.0032,0.0039,-0.0062,0.0014,0.0125,0.0011,-0.0018,6e-04,0.0126,0.0156,0.0011,-5e-04,-0.006,0.0023,0.0131
2001-01-16,7e-04,0.0013,0.002,-0.0017,-0.0024,0.0052,0.0019,-9e-04,-0.0056,-0.0036,0.0048,-0.0061,-0.0144,0.0083,3e-04,0.0085,-0.0039,-0.0057
2001-01-17,-0.0036,-0.0037,-8e-04,-0.0034,-0.0021,-1e-04,-0.0055,4e-04,-9e-04,-0.0091,0.0011,0.0117,0.0117,7e-04,-0.0024,0.0052,0.0025,-0.0072
2001-01-18,0.0057,-0.0081,0.0066,0.0065,0.0049,-0.0062,0.0029,0.0035,-0.003,-0.0124,-0.0018,-0.0046,-0.005,-0.0032,-0.0033,-9e-04,-0.0046,-0.0053
2001-01-19,0.0088,0.0029,4e-04,-0.0026,-0.0028,0.0138,0.0037,-0.0021,0.0011,0.0115,0.0089,-0.0012,-0.0012,0.0124,6e-04,0.0082,0.0019,0.0123
2001-01-22,0.0095,0.0031,-0.0075,0.0046,0.0111,-0.0066,6e-04,-0.0034,-0.0054,-4e-04,-0.0105,0.002,0.0088,-8e-04,-0.0137,0.0028,2e-04,-0.0177
2001-01-23,0.0028,0.002,0.0074,0.005,7e-04,-2e-04,-0.0011,0.0106,9e-04,-0.0034,-7e-04,-0.015,-0.0067,-0.0051,-0.0024,-0.0081,-0.0059,-0.0015
2001-01-24,4e-04,0.002,-0.0083,-3e-04,-0.0082,-0.0012,-0.0146,0.0068,0.0029,0.0023,0.0085,-0.0012,-0.0037,0.0021,0.0063,4e-04,0.0075,0.0115
2001-01-25,-0.0048,0.0101,0.0063,0.0069,0.0055,-0.0028,-0.0082,-0.0014,0.0121,0.0085,0.0019,0.0089,-0.0025,0.0069,0.0056,0.018,0.0021,-0.0046
2001-01-26,-0.014,0.0078,-0.0086,-0.0118,-0.0067,-5e-04,-0.0079,0.0012,-0.0035,0.0047,0.0085,0.0024,0.0059,0.0025,0.0075,0.0055,0.009,0.0114
2001-01-29,0.001,0.002,0.003,0.0046,0.0121,9e-04,0.0057,0.003,0.0043,0.0018,0.0072,-0.0118,-0.0127,0.0052,-0.002,-0.0025,-0.0023,0.0018
2001-01-30,-0.0054,1e-04,3e-04,-0.001,-0.0084,-0.0078,-0.0026,-9e-04,6e-04,-0.0096,-0.006,0.0044,-0.0023,-0.0017,-0.0107,-0.0019,-0.0033,-0.0176
2001-01-31,-0.0056,-0.0076,-0.0044,-0.0028,-0.0019,-0.0036,-2e-04,-0.0141,-0.0036,-0.0021,0.0063,0.0058,-0.002,-0.0083,0.0096,-0.0032,-3e-04,0.0107
2001-02-01,-0.0034,0.0051,0.0073,-0.0026,0.008,0.003,0.0043,6e-04,0.0032,0.0018,-0.004,0.0094,-4e-04,-6e-04,0.002,0.002,0.0014,0.0036
2001-02-02,-0.0012,-0.0121,0.0052,-0.0059,-9e-04,-0.0112,-0.0018,2e-04,-0.0217,0.0081,-0.0061,-0.0098,0.0022,0.0026,-0.0129,0.0095,0.0028,-0.0167
2001-02-05,0.0014,0.0034,-0.0162,-0.0071,0.0028,-0.007,-0.006,-3e-04,-0.0037,0.0041,-0.0036,-0.0036,0.0055,0.0028,-0.0025,0.0043,0.0046,0.0067
2001-02-06,-5e-04,1e-04,-0.0027,0.0057,0.0044,-0.0061,0.0023,-0.0046,-0.0021,0.007,0.0056,8e-04,-0.0025,0.0043,-2e-04,-2e-04,0.0036,0.0104
2001-02-07,-0.001,-0.0041,-0.0124,-0.0052,-0.014,-0.0018,-0.0045,-0.0064,-0.006,-0.0067,0.0091,-0.0129,-0.0048,-0.0041,-0.0017,0.0013,-0.0014,-0.0078
2001-02-08,-0.007,-0.0046,0.0057,-0.0057,0.0017,-0.0023,-0.0026,0.0025,0.0011,-2e-04,-0.0073,-0.0078,0.0012,0.0012,-0.0157,-5e-04,-0.0015,-0.0192
2001-02-09,-0.0033,0.0027,-0.006,-0.0038,-0.0042,-0.0056,0.004,-0.0119,-0.0049,3e-04,-0.0019,-0.0061,0.0057,-0.0076,-0.0026,-0.005,-0.0076,-0.0051
2001-02-12,8e-04,-0.0013,0.0013,0.0014,-0.0097,0.0047,0.0016,1e-04,-0.0024,-0.0046,0.0144,-0.0017,-0.0116,0.0045,0.0049,0.0012,0.0073,-0.0064
2001-02-13,-0.0028,-0.0031,-0.0037,-0.0056,-3e-04,-0.0031,-0.0053,-0.0041,0.0111,0.0078,-0.0028,0.0117,0.001,0.0094,0.0066,0.0134,0.001,0.0083
2001-02-14,3e-04,-0.0093,-0.0076,-0.0032,-0.0075,-0.0098,-0.0028,-0.0016,-0.004,-0.0059,-0.007,-0.0135,-0.0057,0.0013,-0.011,-0.0093,-0.0057,-0.009
2001-02-15,-0.0015,0.0091,-0.0054,0.0026,-0.0107,0.0065,0,-0.0035,0.0045,0.0041,-0.0033,0.0047,9e-04,-0.0038,0.0065,-0.0027,7e-04,0.0033
2001-02-16,-5e-04,0.0018,-9e-04,0.0015,7e-04,-3e-04,-0.0029,6e-04,6e-04,0.009,-0.0065,-0.0019,-0.0046,6e-04,-4e-04,0.0057,0.0118,-0.0061
2001-02-19,-0.0104,0.0037,4e-04,-0.0063,0.0066,-0.0029,-0.0035,0.0042,-0.0034,-0.0041,-0.0016,0.0076,-0.0017,0.0037,-0.0087,-0.0034,-0.001,-0.0019
2001-02-20,0.0073,2e-04,0.0037,0.0062,0.0049,-0.0064,0.0062,0.0011,-5e-04,-0.0034,-0.0109,-0.0058,0.0023,-0.007,-0.0106,-0.0046,9e-04,-0.0111
2001-02-21,-0.0075,-0.0015,-0.008,-6e-04,-0.0124,-0.0071,0.0013,-0.0127,-0.0126,-0.0045,-0.0095,-0.0049,-0.0071,-0.005,-0.0032,-0.0014,-0.0114,-0.0017
2001-02-22,-0.0065,-0.0026,-0.0048,-0.0017,-0.0192,-0.0051,-0.0098,-0.0043,-0.0096,-0.0095,-0.0095,-0.0039,2e-04,-0.0037,-0.0182,0.0018,-0.0031,-0.0241
2001-02-23,-0.0043,-0.0056,-0.0049,-0.0021,-0.014,-9e-04,0.0018,-0.0102,-0.0036,-0.0047,-0.0036,-0.0192,-0.0072,-0.0051,-0.0062,-0.0138,-0.0072,-0.0111
