"","Dates","B_Value","B_Neutral_PB","B_Growth","B_Winner","B_Neutral_MOM","B_Loser","S_Value","S_Neutral_PB","S_Growth","S_Winner","S_Neutral_MOM","S_Loser"
"1",2000-12-20,0.0062,-0.0079,-0.0224,0.0032,-0.0061,-0.0223,-0.0047,-0.0152,-2e-04,0.0023,-0.0013,-0.0066
"2",2000-12-21,-0.0069,-0.0137,0.0022,-0.0023,6e-04,-0.0191,-8e-04,0.0087,-0.01,-0.0036,-0.0024,0.0016
"3",2000-12-22,0.0112,0.0131,0.0143,0.0132,0.0137,0.0144,0.0058,0.0027,0.007,0.0098,0.0034,0.0047
"4",2000-12-25,0,0,0,0,0,0,0,0,0,0,0,0
"5",2000-12-26,0,0,0,0,0,0,0,0,0,0,0,0
"6",2000-12-27,0.0126,0.0066,0.0117,0.0098,0.0213,0.0023,0.0074,0.008,0.0016,0.0074,0.005,-0.0013
"7",2000-12-28,0.0107,0.0035,0.0053,0.0099,0.0153,-1e-04,0.007,0.0094,0.0179,0.0138,0.0066,0.0174
"8",2000-12-29,-0.0027,0.0066,-0.0056,0.0079,-0.0028,-0.001,0.003,-5e-04,0.0092,0.0034,0.0138,2e-04
"9",2001-01-01,0,0,0,0,0,0,0,0,0,0,0,0
"10",2001-01-02,-0.0109,0.0014,-0.011,-0.0096,-0.007,0.0014,-0.0039,-0.0067,0.0064,-7e-04,-0.0036,-0.0216
"11",2001-01-03,-0.0067,-0.0057,-0.0292,-0.0113,-0.0226,-0.0108,0.0049,-0.0017,-0.0238,-0.0049,-0.0044,-0.0047
"12",2001-01-04,0.0341,0.0287,0.0251,0.0161,0.0265,0.0421,0.0017,0.0098,0.0065,0.0021,0.0115,-0.0092
"13",2001-01-05,-0.0027,0.0047,-0.0041,-0.0064,0.0064,0.0028,0.0042,0.0078,0.0105,0.0035,0.0109,0.0115
"14",2001-01-08,0.0015,0.0031,-0.0064,-0.0074,0.0017,0.0114,0,-0.0022,-0.0064,-0.0044,0.0036,-0.0098
"15",2001-01-09,0.0035,0.0029,-0.0017,0.0034,-0.0054,0.0081,0.0056,-0.006,-0.0167,0.001,-0.0117,0.0182
"16",2001-01-10,0.0064,0.0296,0.012,0.0052,0.0164,0.0284,0.0053,0.0022,-0.0018,3e-04,-3e-04,0.0013
