Dates,MR_RF,SMB,HML,WML
2000-12-20T00:00:00Z,-0.0083,0.0021999999999999997,0.010499999999999999,0.0068
2000-12-21T00:00:00Z,-0.0062,-0.0013666666666666662,-0.0037500000000000007,-0.0062
2000-12-22T00:00:00Z,0.0163,-0.006933333333333335,-0.0023500000000000005,-5e-4
2000-12-25T00:00:00Z,-3e-4,0,0,0
2000-12-26T00:00:00Z,-3e-4,0,0,0
2000-12-27T00:00:00Z,0.0118,-0.006533333333333332,0.0029500000000000004,0.0026
2000-12-28T00:00:00Z,0.0083,-0.004666666666666666,8.999999999999989e-4,0.0025
2000-12-29T00:00:00Z,-0.0106,0.004399999999999999,0.0043,0.0095
2001-01-01T00:00:00Z,-3e-4,0,0,0
2001-01-02T00:00:00Z,-0.0046,0.005333333333333332,0.0013500000000000005,-0.0024
2001-01-03T00:00:00Z,-0.0215,0.006233333333333332,0.017849999999999998,0.0038
2001-01-04T00:00:00Z,0.0427,-0.014933333333333333,-0.0049499999999999995,-0.0076
2001-01-05T00:00:00Z,-0.0035,0.002333333333333333,0.0081,-8e-4
2001-01-08T00:00:00Z,7e-4,-0.003666666666666667,0.00645,-0.0041
2001-01-09T00:00:00Z,-0.0025,-6.666666666666648e-5,0.01085,0.0039
2001-01-10T00:00:00Z,0.0116,-0.008933333333333335,-0.0059,-0.004
2001-01-11T00:00:00Z,0.0121,-0.004866666666666664,0.00695,0.0068
2001-01-12T00:00:00Z,0.0051,-0.003966666666666667,-0.00245,-0.0036
2001-01-15T00:00:00Z,0.0069,-0.006566666666666666,5.50000000000001e-4,-9e-4
2001-01-16T00:00:00Z,-0.0092,0.009099999999999999,-0.0017500000000000003,-0.0012
2001-01-17T00:00:00Z,0.0113,-0.003066666666666667,0.014249999999999999,0.0042
2001-01-18T00:00:00Z,0.0072,0.006166666666666666,5.999999999999998e-4,0.0024
2001-01-19T00:00:00Z,0.0131,0.008533333333333334,-0.003949999999999999,-0.0085
2001-01-22T00:00:00Z,-0.0133,0.009566666666666666,0.0010500000000000006,0.0012
2001-01-23T00:00:00Z,0.0041,-0.008033333333333333,-0.0035000000000000005,-0.002
2001-01-24T00:00:00Z,2e-4,3.3333333333333305e-4,0.0021499999999999996,-0.0025
2001-01-25T00:00:00Z,0.0067,-0.006366666666666666,0.007050000000000001,0.001
2001-01-26T00:00:00Z,0.0029,-6.666666666666648e-5,0.0013,0.0057
2001-01-29T00:00:00Z,0.0109,-0.004699999999999999,3.499999999999996e-4,0.0042
2001-01-30T00:00:00Z,0.0074,-0.004866666666666667,-0.0022500000000000003,0.003
2001-01-31T00:00:00Z,-0.0029,0,-0.0017499999999999998,4e-4
2001-02-01T00:00:00Z,0.0172,-0.007499999999999999,-0.0052499999999999995,0.0017
2001-02-02T00:00:00Z,0.0043,0.0019666666666666665,0.00395,5e-4
2001-02-05T00:00:00Z,-0.0078,-0.0017333333333333333,8.500000000000001e-4,0.006
2001-02-06T00:00:00Z,0.002,0.003033333333333333,-0.0026,0.0059
2001-02-07T00:00:00Z,-0.0067,-0.0015999999999999999,0.00515,-0.0042
2001-02-08T00:00:00Z,0.0024,-0.0029,-6.5e-4,4e-4
2001-02-09T00:00:00Z,-0.0013,0.004233333333333333,-0.0012500000000000011,0.006
2001-02-12T00:00:00Z,0.0057,-0.0016666666666666674,0.007050000000000001,-5e-4
2001-02-13T00:00:00Z,0.0036,-5.000000000000001e-4,1.9999999999999998e-4,-0.0058
2001-02-14T00:00:00Z,-0.0077,0.001366666666666667,0.00895,0.0048
2001-02-15T00:00:00Z,0.0077,-0.0038333333333333336,0.003,0.007
2001-02-16T00:00:00Z,0.0032,0.006133333333333333,0.01145,0.0092
2001-02-19T00:00:00Z,-9e-4,-0.008,-0.0014500000000000008,-0.0034
