Dates,B_Value,B_Neutral_PE,B_Growth,B_Robust,B_Neutral_OP,B_Weak,B_Conservative,B_Neutral_INV,B_Aggressive,S_Value,S_Neutral_PE,S_Growth,S_Robust,S_Neutral_OP,S_Weak,S_Conservative,S_Neutral_INV,S_Aggressive
2000-12-20T00:00:00Z,0.0062,-0.0079,-0.0238,-0.0114,-0.0021,-0.014,-0.0069,-0.0123,-0.0179,-0.0047,-0.0152,-2e-4,0.0033,-0.007,-0.0022,-0.0171,0.0022,-0.0024
2000-12-21T00:00:00Z,-0.0069,-0.0137,0.0024,-0.0046,-0.0139,-0.0037,-0.0023,-0.0043,-0.0035,-8e-4,0.0087,-0.01,-0.0021,-0.001,-0.0011,0.0183,-0.0127,-0.0077
2000-12-22T00:00:00Z,0.0112,0.0131,0.0152,0.0138,0.0108,0.0159,0.0038,0.0176,0.0195,0.0058,0.0027,0.007,0.0029,0.0097,0.0099,4e-4,0.0108,-0.0022
2000-12-25T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-12-26T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-12-27T00:00:00Z,0.0126,0.0066,0.0124,0.0116,0.0128,0.008,0.0096,0.0067,0.0189,0.0074,0.008,0.0016,0.008,-0.0054,0.0092,0.0085,0.0104,-1e-4
2000-12-28T00:00:00Z,0.0107,0.0035,0.0056,0.0015,0.0148,0.0127,0.0035,0.0113,0.0069,0.007,0.0094,0.0179,0.0116,0.0074,0.0232,-0.0019,0.0151,0.0087
2000-12-29T00:00:00Z,-0.0027,0.0066,-0.0059,-6e-4,-0.0014,4e-4,-3e-4,-0.0147,-0.0012,0.003,-5e-4,0.0092,0.003,0.0028,0.0065,0.0127,8e-4,0.0024
2001-01-01T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-01-02T00:00:00Z,-0.0109,0.0014,-0.0117,-0.0016,-0.0064,-0.0042,-0.0023,-0.0056,-0.0125,-0.0039,-0.0067,0.0064,0.0028,-0.0015,-0.0314,-0.0243,0.0085,-0.0061
2001-01-03T00:00:00Z,-0.0067,-0.0057,-0.0311,-0.0263,-0.0098,-0.0138,-0.0031,-0.0154,-0.0369,0.0049,-0.0017,-0.0238,-0.0075,0.004,-0.0086,0.0129,-0.0099,-0.0053
2001-01-04T00:00:00Z,0.0341,0.0287,0.0267,0.0347,0.0278,0.0286,0.0323,0.0283,0.0313,0.0017,0.0098,0.0065,0.0021,0.0067,-0.0055,-0.0049,0.0041,0.0161
2001-01-05T00:00:00Z,-0.0027,0.0047,-0.0044,-0.0032,0.0096,-0.0012,-0.0017,0.0017,-0.0038,0.0042,0.0078,0.0105,0.0059,-0.0023,0.0246,0.0185,0.0083,0.0046
2001-01-08T00:00:00Z,0.0015,0.0031,-0.0068,-8e-4,0.006,0.005,-0.0021,0.0161,-0.0141,-0,-0.0022,-0.0064,-0.0034,-0.0053,-0.0031,0.0096,-0.0062,-0.0012
2001-01-09T00:00:00Z,0.0035,0.0029,-0.0018,0.0037,5e-4,0.0032,0.0032,-0.0052,0.01,0.0056,-0.006,-0.0167,0.007,0.0064,-0.0045,-0.0084,0.0024,-0.0024
2001-01-10T00:00:00Z,0.0064,0.0296,0.0128,0.0261,0.0074,0.0227,0.0264,0.0212,-0.0014,0.0053,0.0022,-0.0018,0.0011,0.0033,-0.0025,0.0053,0.0074,0.0054
2001-01-11T00:00:00Z,0.0056,0.0263,0.0061,0.0149,0.0212,0.0111,0.0111,0.0109,0.0108,0.0115,0.0083,0.0119,0.0037,0.0044,0.0122,0.0019,0.0117,0.0111
2001-01-12T00:00:00Z,0.0035,0.0128,0.0215,0.0176,0.012,0.0061,0.0178,0.0167,0.012,0.003,0.0129,0.004,0.006,1e-4,0.0115,0.0105,0.0095,0.0078
2001-01-15T00:00:00Z,0.0149,0.0106,0.0146,0.0199,0.011,0.0098,0.0133,0.0023,0.0238,0.0118,-0.0025,0.0098,-0.0046,0.0105,0.0143,0.0208,0.0046,-0.0015
2001-01-16T00:00:00Z,-0.0096,-0.0144,-0.0049,-0.0122,-0.0065,-0.0037,-0.0121,-0.0022,-0.0022,0.0024,0.0053,0.001,0.0095,0.0089,-0.001,-0.0034,-0.0016,-0.0035
