"Dates","MR_RF","SMB","HML"
2000-12-20,-0.0083,0.00126666666666667,0.0051
2000-12-21,-0.0062,0.00193333333333333,-0.0024
2000-12-22,0.0163,0.00243333333333333,0.0067
2000-12-25,-3e-04,0,0
2000-12-26,-3e-04,0,0
2000-12-27,0.0118,0.00226666666666667,-0.00505
2000-12-28,0.0083,-0.0031,-0.00145
2000-12-29,-0.0106,-0.00336666666666667,0.00825
2001-01-01,-3e-04,0,0
2001-01-02,-0.0046,6.66666666666663e-05,0.0016
2001-01-03,-0.0215,-0.006,0.00695
2001-01-04,0.0427,0.0049,-0.0066
2001-01-05,-0.0035,0.00883333333333333,-3e-04
2001-01-08,7e-04,-0.00393333333333333,0.0075
2001-01-09,-0.0025,0.0058,-0.0015
2001-01-10,0.0116,0.000566666666666665,-0.00915
2001-01-11,0.0121,-0.00703333333333333,0.00845
2001-01-12,0.0051,0.00193333333333333,0.000300000000000001
2001-01-15,0.0069,-0.00143333333333333,-0.00775
2001-01-16,-0.0092,-0.00296666666666667,6e-04
2001-01-17,0.0113,0.00393333333333333,-0.01185
2001-01-18,0.0072,-0.00766666666666667,-0.0043
2001-01-19,0.0131,0.00236666666666667,0.01065
2001-01-22,-0.0133,-0.00463333333333333,0.0073
2001-01-23,0.0041,-0.0104,0.00345
2001-01-24,2e-04,0.00516666666666667,0.0061
2001-01-25,0.0067,0.00256666666666667,-0.0058
2001-01-26,0.0029,0.0100666666666667,-0.00155
2001-01-29,0.0109,-0.00286666666666667,0.00575
2001-01-30,0.0074,-0.00203333333333333,-0.0098
2001-01-31,-0.0029,0.0092,-0.0046
2001-02-01,0.0172,-6e-04,-0.00915
2001-02-02,0.0043,0.000133333333333333,0.0057
2001-02-05,-0.0078,0.00276666666666667,0.0126
2001-02-06,0.002,0.0055,0.0042
2001-02-07,-0.0067,0.00236666666666667,0.00875
2001-02-08,0.0024,-0.0031,-0.00255
2001-02-09,-0.0013,-0.000333333333333333,0.0045
2001-02-12,0.0057,0.00246666666666667,-0.0017
2001-02-13,0.0036,0.00876666666666667,-0.0015
2001-02-14,-0.0077,-0.0033,0.00765
2001-02-15,0.0077,0.00113333333333333,0.0016
2001-02-16,0.0032,9.99999999999997e-05,0.00565
2001-02-19,-9e-04,0.00273333333333333,-0.01125
2001-02-20,-0.0053,-0.0104,0.003
2001-02-21,-0.0118,-0.000599999999999998,0.00045
2001-02-22,0.0037,-0.00293333333333333,-0.0036
2001-02-23,-0.01,-0.00416666666666667,0.00745
2001-02-26,0.0011,-0.00303333333333333,-0.0046
2001-02-27,0.0031,0.001,-0.005
2001-02-28,-0.0093,0.00666666666666667,0.0127
2001-03-01,-0.0092,0.00803333333333333,0.00205
2001-03-02,-0.0013,0.00746666666666667,-0.00025
2001-03-05,0.0077,0.00506666666666667,-0.00645
2001-03-06,0.018,-0.0119666666666667,-0.00645
2001-03-07,0.0023,0.00456666666666667,0.00465
2001-03-08,-0.0068,-0.00343333333333333,0.0126
2001-03-09,-0.0033,0.0118333333333333,-0.0101
2001-03-12,-0.0154,0.00476666666666667,0.0063
2001-03-13,-0.0067,-0.00196666666666667,0.0052
2001-03-14,-0.0362,-0.0024,5e-04
2001-03-15,-0.0071,0.00446666666666667,-0.01885
2001-03-16,-0.0217,0.00413333333333333,0.0049
2001-03-19,0.0184,0.000466666666666667,0.0016
2001-03-20,0.0035,0.00133333333333333,-0.00645
2001-03-21,-3e-04,0,0
2001-03-22,-0.0307,-0.00493333333333333,0.0016
2001-03-23,0.0016,0.00576666666666667,-0.01195
2001-03-26,0.0251,0.00673333333333333,0.0048
2001-03-27,0.0013,-0.00136666666666667,0.01385
2001-03-28,-0.0022,-0.00863333333333333,-9e-04
2001-03-29,-0.011,-0.000233333333333333,0.0066
2001-03-30,-0.0195,-0.0152666666666667,0.0109
2001-04-02,-0.0121,0.00936666666666667,-0.0078
2001-04-03,-0.0149,0.000866666666666667,-0.00225
2001-04-04,0.0015,-0.000766666666666666,-0.00795
2001-04-05,0.0288,3.33333333333349e-05,-0.00275
2001-04-06,-0.0092,-0.00296666666666667,0.00755
2001-04-09,0.0163,0.00906666666666667,-0.0101
2001-04-10,0.016,-0.0031,0.00445
2001-04-11,0.0198,0.0018,0.006
2001-04-12,0.0029,-2e-04,0.00725
2001-04-13,-3e-04,0,0
2001-04-16,-3e-04,0,0
2001-04-17,-0.0023,-0.00113333333333333,0.00825
