Dates,MR_RF,SMB,HML,RMW,CMA
2000-12-20T00:00:00Z,-0.0083,0.0065,0.0128,0.004,-0.0019
2000-12-21T00:00:00Z,-0.0062,0.003,-0,-9e-4,0.0136
2000-12-22T00:00:00Z,0.0163,-0.0085,-0.0026,-0.0046,-0.0066
2000-12-25T00:00:00Z,-3e-4,0,0,0,0
2000-12-26T00:00:00Z,-3e-4,0,0,0,0
2000-12-27T00:00:00Z,0.0118,-0.0071,0.003,0.0012,-4e-4
2000-12-28T00:00:00Z,0.0083,0.0033,-0.0029,-0.0114,-0.007
2000-12-29T00:00:00Z,-0.0106,0.0076,-0.0015,-0.0022,0.0056
2001-01-01T00:00:00Z,-3e-4,0,0,0,0
2001-01-02T00:00:00Z,-0.0046,0.0048,-0.0048,0.0184,-0.004
2001-01-03T00:00:00Z,-0.0215,0.0129,0.0266,-0.0057,0.026
2001-01-04T00:00:00Z,0.0427,-0.0247,0.0013,0.0068,-0.01
2001-01-05T00:00:00Z,-0.0035,0.008,-0.0023,-0.0104,0.008
2001-01-08T00:00:00Z,7e-4,-0.002,0.0073,-0.003,0.0114
2001-01-09T00:00:00Z,-0.0025,-0.0049,0.0138,0.006,-0.0064
2001-01-10T00:00:00Z,0.0116,-0.0128,3e-4,0.0035,0.0138
2001-01-11T00:00:00Z,0.0121,-0.0041,-5e-4,-0.0024,-0.0045
2001-01-12T00:00:00Z,0.0051,-0.0086,-0.0095,0.003,0.0043
2001-01-15T00:00:00Z,0.0069,-0.0074,0.0012,-0.0044,0.0059
2001-01-16T00:00:00Z,-0.0092,0.0098,-0.0016,0.001,-0.0049
2001-01-17T00:00:00Z,0.0113,-0.016,0.036,0.001,0.0253
2001-01-18T00:00:00Z,0.0072,0.0026,-0.0036,0.0079,-0.0079
2001-01-19T00:00:00Z,0.0131,0.0119,-0.018,-0.0061,-0.0077
2001-01-22T00:00:00Z,-0.0133,0.0108,-0.0038,6e-4,-0.005
2001-01-23T00:00:00Z,0.0041,-0.0048,-0.0055,-0.0029,-0.0063
2001-01-24T00:00:00Z,2e-4,0.0022,-0.0053,-0.0081,-8e-4
