Dates,MR_RF
2000-01-05T00:00:00Z,-0.0108
2000-01-06T00:00:00Z,0.0012
2000-01-07T00:00:00Z,0.0248
2000-01-10T00:00:00Z,0.0323
2000-01-11T00:00:00Z,0.0024
2000-01-12T00:00:00Z,-0.0057
2000-01-13T00:00:00Z,-0.001
2000-01-14T00:00:00Z,0.0084
2000-01-17T00:00:00Z,0.0223
2000-01-18T00:00:00Z,-0.0058
2000-01-19T00:00:00Z,-0.0029
2000-01-20T00:00:00Z,8e-4
2000-01-21T00:00:00Z,-0.0124
2000-01-24T00:00:00Z,-0.0038
2000-01-25T00:00:00Z,-0.0272
2000-01-26T00:00:00Z,-0.0139
2000-01-27T00:00:00Z,-0.0016
2000-01-28T00:00:00Z,-0.0146
2000-01-31T00:00:00Z,-0.008
2000-02-01T00:00:00Z,0.0334
2000-02-02T00:00:00Z,-0.0025
2000-02-03T00:00:00Z,0.0056
2000-02-04T00:00:00Z,-0.0118
2000-02-07T00:00:00Z,0.0188
2000-02-08T00:00:00Z,0.0035
2000-02-09T00:00:00Z,0.0048
2000-02-10T00:00:00Z,-0.0155
2000-02-11T00:00:00Z,-0.0132
2000-02-14T00:00:00Z,-0.0133
2000-02-15T00:00:00Z,-0.0106
2000-02-16T00:00:00Z,-0.0098
2000-02-17T00:00:00Z,0.0181
2000-02-18T00:00:00Z,-0.0047
2000-02-21T00:00:00Z,-0.0229
2000-02-22T00:00:00Z,-0.0233
2000-02-23T00:00:00Z,0.008
2000-02-24T00:00:00Z,3e-4
2000-02-25T00:00:00Z,-0.0145
2000-02-28T00:00:00Z,-0.0143
2000-02-29T00:00:00Z,-0.0053
2000-03-01T00:00:00Z,0.0152
2000-03-02T00:00:00Z,-0.0106
2000-03-03T00:00:00Z,6e-4
2000-03-06T00:00:00Z,0.0074
2000-03-07T00:00:00Z,1e-4
2000-03-08T00:00:00Z,-0.0081
2000-03-09T00:00:00Z,-0.011
2000-03-10T00:00:00Z,-0.0031
2000-03-13T00:00:00Z,-0.0334
2000-03-14T00:00:00Z,0.022
2000-03-15T00:00:00Z,-5e-4
2000-03-16T00:00:00Z,0.0184
2000-03-17T00:00:00Z,0.0083
2000-03-20T00:00:00Z,0.0036
2000-03-21T00:00:00Z,-3e-4
2000-03-22T00:00:00Z,0.0066
2000-03-23T00:00:00Z,0.008
2000-03-24T00:00:00Z,0.0076
2000-03-27T00:00:00Z,0.0037
2000-03-28T00:00:00Z,-0.0186
2000-03-29T00:00:00Z,0.0056
2000-03-30T00:00:00Z,-0.0228
2000-03-31T00:00:00Z,0.0035
2000-04-03T00:00:00Z,0.0073
2000-04-04T00:00:00Z,0.0065
2000-04-05T00:00:00Z,-0.0371
2000-04-06T00:00:00Z,0.0136
2000-04-07T00:00:00Z,-0.0026
2000-04-10T00:00:00Z,0.0037
2000-04-11T00:00:00Z,-0.0186
2000-04-12T00:00:00Z,-0.0106
2000-04-13T00:00:00Z,-0.0351
2000-04-14T00:00:00Z,-0.0317
2000-04-17T00:00:00Z,-0.0786
2000-04-18T00:00:00Z,0.04
2000-04-19T00:00:00Z,0.0166
2000-04-20T00:00:00Z,0.0219
2000-04-21T00:00:00Z,-3e-4
2000-04-24T00:00:00Z,-3e-4
2000-04-25T00:00:00Z,0.0221
2000-04-26T00:00:00Z,0.0083
2000-04-27T00:00:00Z,-3e-4
2000-04-28T00:00:00Z,0.0062
2000-05-01T00:00:00Z,-3e-4
2000-05-02T00:00:00Z,0.0011
2000-05-03T00:00:00Z,0.0082
2000-05-04T00:00:00Z,-0.0051
2000-05-05T00:00:00Z,-0.0023
2000-05-08T00:00:00Z,0.0049
2000-05-09T00:00:00Z,0.0171
2000-05-10T00:00:00Z,0.0058
2000-05-11T00:00:00Z,-0.0177
2000-05-12T00:00:00Z,-0.0026
2000-05-15T00:00:00Z,0.0031
2000-05-16T00:00:00Z,0.0083
2000-05-17T00:00:00Z,-0.0153
2000-05-18T00:00:00Z,-0.0058
2000-05-19T00:00:00Z,-0.0219
2000-05-22T00:00:00Z,-0.0058
2000-05-23T00:00:00Z,0.0047
2000-05-24T00:00:00Z,-0.0177
2000-05-25T00:00:00Z,0.0174
2000-05-26T00:00:00Z,-0.0047
2000-05-29T00:00:00Z,0.0097
2000-05-30T00:00:00Z,0.0067
2000-05-31T00:00:00Z,-0.0031
2000-06-01T00:00:00Z,0.0043
2000-06-02T00:00:00Z,0.0158
2000-06-05T00:00:00Z,0.0054
2000-06-06T00:00:00Z,0.0169
2000-06-07T00:00:00Z,0.0087
2000-06-08T00:00:00Z,0.0025
2000-06-09T00:00:00Z,0.0048
2000-06-12T00:00:00Z,0.0121
2000-06-13T00:00:00Z,-0.0075
2000-06-14T00:00:00Z,-0.0078
2000-06-15T00:00:00Z,-0.0055
2000-06-16T00:00:00Z,-3e-4
2000-06-19T00:00:00Z,0.0019
2000-06-20T00:00:00Z,0.003
2000-06-21T00:00:00Z,-0.01
2000-06-22T00:00:00Z,-0.0049
2000-06-23T00:00:00Z,-0.0067
2000-06-26T00:00:00Z,0.0082
2000-06-27T00:00:00Z,5e-4
2000-06-28T00:00:00Z,0.0023
2000-06-29T00:00:00Z,-0.0036
2000-06-30T00:00:00Z,0.0094
2000-07-03T00:00:00Z,0.0048
2000-07-04T00:00:00Z,0.0051
2000-07-05T00:00:00Z,0.0058
2000-07-06T00:00:00Z,-0.0074
2000-07-07T00:00:00Z,-0.007
2000-07-10T00:00:00Z,0.0072
2000-07-11T00:00:00Z,1e-4
2000-07-12T00:00:00Z,0.0157
2000-07-13T00:00:00Z,0.0018
2000-07-14T00:00:00Z,0.0121
2000-07-17T00:00:00Z,-0.0013
2000-07-18T00:00:00Z,-0.0034
2000-07-19T00:00:00Z,7e-4
2000-07-20T00:00:00Z,-0.0073
2000-07-21T00:00:00Z,3e-4
2000-07-24T00:00:00Z,-0.0032
2000-07-25T00:00:00Z,-0.0036
2000-07-26T00:00:00Z,-0.0022
2000-07-27T00:00:00Z,-0.0037
2000-07-28T00:00:00Z,-0.0061
2000-07-31T00:00:00Z,-0.0058
2000-08-01T00:00:00Z,-3e-4
2000-08-02T00:00:00Z,0.0108
2000-08-03T00:00:00Z,-0.005
2000-08-04T00:00:00Z,0.0139
2000-08-07T00:00:00Z,0.001
2000-08-08T00:00:00Z,0.0044
2000-08-09T00:00:00Z,-3e-4
2000-08-10T00:00:00Z,0.0162
2000-08-11T00:00:00Z,0.0048
2000-08-14T00:00:00Z,0.0099
2000-08-15T00:00:00Z,7e-4
2000-08-16T00:00:00Z,0.0083
2000-08-17T00:00:00Z,-0.0037
2000-08-18T00:00:00Z,0.0012
2000-08-21T00:00:00Z,0.0062
2000-08-22T00:00:00Z,0.0125
2000-08-23T00:00:00Z,1e-4
2000-08-24T00:00:00Z,3e-4
2000-08-25T00:00:00Z,-0.0064
2000-08-28T00:00:00Z,0.0013
2000-08-29T00:00:00Z,0.0037
2000-08-30T00:00:00Z,-0.0027
2000-08-31T00:00:00Z,0.011
2000-09-01T00:00:00Z,0.0061
2000-09-04T00:00:00Z,0.0118
2000-09-05T00:00:00Z,-0.0094
2000-09-06T00:00:00Z,-0.0012
2000-09-07T00:00:00Z,-0.0014
2000-09-08T00:00:00Z,-3e-4
2000-09-11T00:00:00Z,-0.0033
2000-09-12T00:00:00Z,-0.0102
2000-09-13T00:00:00Z,0.004
2000-09-14T00:00:00Z,0.004
2000-09-15T00:00:00Z,-0.0068
2000-09-18T00:00:00Z,-0.0065
2000-09-19T00:00:00Z,-0.0126
2000-09-20T00:00:00Z,-0.0052
2000-09-21T00:00:00Z,-0.0119
2000-09-22T00:00:00Z,-0.0053
2000-09-25T00:00:00Z,-3e-4
2000-09-26T00:00:00Z,0.0114
2000-09-27T00:00:00Z,0.007
2000-09-28T00:00:00Z,0.0072
2000-09-29T00:00:00Z,-0.0023
2000-10-02T00:00:00Z,0.0107
2000-10-03T00:00:00Z,0.006
2000-10-04T00:00:00Z,-0.0038
2000-10-05T00:00:00Z,-0.0102
2000-10-06T00:00:00Z,-0.0069
2000-10-09T00:00:00Z,-0.0068
2000-10-10T00:00:00Z,-0.0059
2000-10-11T00:00:00Z,-0.0131
2000-10-12T00:00:00Z,-0.0031
2000-10-13T00:00:00Z,-0.0055
2000-10-16T00:00:00Z,0.0143
2000-10-17T00:00:00Z,-0.0063
2000-10-18T00:00:00Z,-0.03
2000-10-19T00:00:00Z,0.0249
2000-10-20T00:00:00Z,0.0073
2000-10-23T00:00:00Z,0.0036
2000-10-24T00:00:00Z,-0.0013
2000-10-25T00:00:00Z,-0.0139
2000-10-26T00:00:00Z,-0.0055
2000-10-27T00:00:00Z,-0.0031
2000-10-30T00:00:00Z,9e-4
2000-10-31T00:00:00Z,0.0288
2000-11-01T00:00:00Z,0.0152
2000-11-02T00:00:00Z,0.0226
2000-11-03T00:00:00Z,-0.0061
2000-11-06T00:00:00Z,-0.0065
2000-11-07T00:00:00Z,0.0082
2000-11-08T00:00:00Z,-0.0029
2000-11-09T00:00:00Z,-0.0093
2000-11-10T00:00:00Z,-0.0157
2000-11-13T00:00:00Z,-0.0106
2000-11-14T00:00:00Z,0.0155
2000-11-15T00:00:00Z,0.0027
2000-11-16T00:00:00Z,5e-4
2000-11-17T00:00:00Z,-0.0113
2000-11-20T00:00:00Z,-0.0092
2000-11-21T00:00:00Z,0.0048
2000-11-22T00:00:00Z,-0.0206
2000-11-23T00:00:00Z,-0.0124
2000-11-24T00:00:00Z,0.0038
2000-11-27T00:00:00Z,0.0144
2000-11-28T00:00:00Z,-0.0023
2000-11-29T00:00:00Z,0.0028
2000-11-30T00:00:00Z,-0.0318
2000-12-01T00:00:00Z,-0.0016
2000-12-04T00:00:00Z,0.007
2000-12-05T00:00:00Z,-3e-4
2000-12-06T00:00:00Z,0.0246
2000-12-07T00:00:00Z,-0.0028
2000-12-08T00:00:00Z,0.0174
2000-12-11T00:00:00Z,0.0252
2000-12-12T00:00:00Z,-6e-4
2000-12-13T00:00:00Z,-0.0143
2000-12-14T00:00:00Z,-0.0117
2000-12-15T00:00:00Z,-0.0107
2000-12-18T00:00:00Z,0.0108
2000-12-19T00:00:00Z,0.0038
